Region,Site,SiteDateID,Date_Seeded,Date_Monitored,Since_last_precip,Seed_estimate,Monitor_estimate,ppt_mm,Perc_deviation,Deviation_mm
Colorado Plateau,TLE,108,2019-07-25T00:00:00Z,2019-08-19T00:00:00Z,7.9,2019-08-01T00:00:00Z,2019-08-15T00:00:00Z,14.275,-0.446584938704028,6.375
Colorado Plateau,TLE,109,2019-07-25T00:00:00Z,2019-10-04T00:00:00Z,16.09,2019-08-01T00:00:00Z,2019-09-30T00:00:00Z,38.845,-0.5857896769210966,22.755
Colorado Plateau,TLE,110,2019-07-25T00:00:00Z,2020-10-09T00:00:00Z,152.15,2019-08-01T00:00:00Z,2020-09-30T00:00:00Z,202.12,-0.2472293686918662,49.97
Colorado Plateau,TLE,111,2019-07-25T00:00:00Z,2021-05-28T00:00:00Z,19.53,2019-08-01T00:00:00Z,2021-05-31T00:00:00Z,121.10000000000001,-0.838728323699422,101.57000000000001
Mojave,29_Palms,112,2020-03-13T00:00:00Z,2020-04-29T00:00:00Z,69.59,2020-03-15T00:00:00Z,2020-04-30T00:00:00Z,1.63,41.69325153374234,-67.96000000000001
Mojave,29_Palms,113,2020-03-13T00:00:00Z,2021-03-30T00:00:00Z,24.16,2020-03-15T00:00:00Z,2021-03-31T00:00:00Z,87.57,-0.7241064291424004,63.41
Mojave,29_Palms,114,2021-12-19T00:00:00Z,2022-04-15T00:00:00Z,8.89,2021-12-15T00:00:00Z,2022-04-15T00:00:00Z,44.335,-0.799481222510432,35.445
Mojave,AVRCD,115,2020-03-17T00:00:00Z,2020-04-30T00:00:00Z,97.64,2020-03-15T00:00:00Z,2020-04-30T00:00:00Z,6.225,14.685140562248998,-91.415
Mojave,AVRCD,116,2020-03-17T00:00:00Z,2021-04-06T00:00:00Z,69.32000000000001,2020-03-15T00:00:00Z,2021-03-31T00:00:00Z,212.295,-0.6734732330012482,142.97499999999997
Mojave,AVRCD,117,2022-01-17T00:00:00Z,2022-04-13T00:00:00Z,19.71,2022-01-15T00:00:00Z,2022-04-15T00:00:00Z,122.155,-0.8386476198272685,102.445
