Code,n,perc_freq,Frequency,Plant,Plot,Sites,Type
AMASPP.BarTBar,30,1.366120218579235,0.01366120218579235,Native recruit,wetter,NA,"Native recruit, wetter"
SUNGR.Spiderweb,30,1.366120218579235,0.01366120218579235,Native recruit,wetter,NA,"Native recruit, wetter"
SPAI,28,1.2750455373406193,0.012750455373406194,Native recruit,wetter,NA,"Native recruit, wetter"
KRLA2,27,1.2295081967213115,0.012295081967213115,Native recruit,wetter,NA,"Native recruit, wetter"
UNGR1.PEFO,27,1.2295081967213115,0.012295081967213115,Native recruit,wetter,NA,"Native recruit, wetter"
ATSPP.FlyingM,23,1.0473588342440803,0.010473588342440802,Native recruit,wetter,NA,"Native recruit, wetter"
ARFR4,21,0.9562841530054645,0.009562841530054645,Native recruit,wetter,NA,"Native recruit, wetter"
BOSI2,21,0.9562841530054645,0.009562841530054645,Native recruit,wetter,NA,"Native recruit, wetter"
DACA7,21,0.9562841530054645,0.009562841530054645,Native recruit,wetter,NA,"Native recruit, wetter"
LOESE2,21,0.9562841530054645,0.009562841530054645,Native recruit,wetter,NA,"Native recruit, wetter"
ACMI2,19,0.8652094717668488,0.008652094717668488,Native recruit,wetter,NA,"Native recruit, wetter"
GUSA2,19,0.8652094717668488,0.008652094717668488,Native recruit,wetter,NA,"Native recruit, wetter"
UNGR.AguaFria,17,0.7741347905282332,0.007741347905282332,Native recruit,wetter,NA,"Native recruit, wetter"
BOGR2,16,0.7285974499089253,0.007285974499089253,Native recruit,wetter,NA,"Native recruit, wetter"
LECI4,15,0.6830601092896175,0.006830601092896175,Native recruit,wetter,NA,"Native recruit, wetter"
SUNGR.PEFO,13,0.5919854280510018,0.005919854280510018,Native recruit,wetter,NA,"Native recruit, wetter"
BOSPP.PEFO,12,0.546448087431694,0.005464480874316941,Native recruit,wetter,NA,"Native recruit, wetter"
CLESP.Spiderweb,11,0.5009107468123861,0.005009107468123861,Native recruit,wetter,NA,"Native recruit, wetter"
BAMU,9,0.4098360655737705,0.004098360655737705,Native recruit,wetter,NA,"Native recruit, wetter"
BOSPP.Spiderweb,9,0.4098360655737705,0.004098360655737705,Native recruit,wetter,NA,"Native recruit, wetter"
CYAC,9,0.4098360655737705,0.004098360655737705,Native recruit,wetter,NA,"Native recruit, wetter"
CHER2,8,0.36429872495446264,0.0036429872495446266,Native recruit,wetter,NA,"Native recruit, wetter"
LOSA,8,0.36429872495446264,0.0036429872495446266,Native recruit,wetter,NA,"Native recruit, wetter"
OESP.BarTBar,8,0.36429872495446264,0.0036429872495446266,Native recruit,wetter,NA,"Native recruit, wetter"
UNFO1.BabbittPJ,8,0.36429872495446264,0.0036429872495446266,Native recruit,wetter,NA,"Native recruit, wetter"
AMASPP.FlyingM,7,0.31876138433515483,0.0031876138433515485,Native recruit,wetter,NA,"Native recruit, wetter"
ELEL5,7,0.31876138433515483,0.0031876138433515485,Native recruit,wetter,NA,"Native recruit, wetter"
LUSPP.AguaFria,7,0.31876138433515483,0.0031876138433515485,Native recruit,wetter,NA,"Native recruit, wetter"
ALIN,6,0.273224043715847,0.0027322404371584704,Native recruit,wetter,NA,"Native recruit, wetter"
ELSPP.AguaFria,6,0.273224043715847,0.0027322404371584704,Native recruit,wetter,NA,"Native recruit, wetter"
ERISP.PEFO,6,0.273224043715847,0.0027322404371584704,Native recruit,wetter,NA,"Native recruit, wetter"
PASM,6,0.273224043715847,0.0027322404371584704,Native recruit,wetter,NA,"Native recruit, wetter"
AMBSPP.BabbittPJ,4,0.18214936247723132,0.0018214936247723133,Native recruit,wetter,NA,"Native recruit, wetter"
SECO10,4,0.18214936247723132,0.0018214936247723133,Native recruit,wetter,NA,"Native recruit, wetter"
SPSP.BabbittPJ,4,0.18214936247723132,0.0018214936247723133,Native recruit,wetter,NA,"Native recruit, wetter"
UNGR1.AguaFria,4,0.18214936247723132,0.0018214936247723133,Native recruit,wetter,NA,"Native recruit, wetter"
ATSP.BarTBar,3,0.1366120218579235,0.0013661202185792352,Native recruit,wetter,NA,"Native recruit, wetter"
BOER4,3,0.1366120218579235,0.0013661202185792352,Native recruit,wetter,NA,"Native recruit, wetter"
CRYSPP.BarTBar,3,0.1366120218579235,0.0013661202185792352,Native recruit,wetter,NA,"Native recruit, wetter"
