CodeOriginal,Name,Native,Region,Site,Duration,Lifeform,Code
UNK brown,"Unknown brown, SCC",Unknown,Sonoran Central,SCC,Unknown,Unknown,UNK brown.SCC
Unk dark,"Unknown with dark hairy leaf and dark margin; resembles BAMU, SCC",Unknown,Sonoran Central,SCC,Unknown,Forb,Unk dark.SCC
UNK Fuzzy astr,"Unknown fuzzy aster, Mesquite",Unknown,Chihuahuan,Mesquite,Unknown,Forb,UNK Fuzzy astr.Mesquite
Unk grass,"Unknown likely associated with warm seed mix, SCC",Unknown,Sonoran Central,SCC,Unknown,Grass,Unk grass.SCC
unk grass 2,"Unknown grass 2, Roosevelt",Unknown,Sonoran Central,Roosevelt,Unknown,Grass,unk grass 2.Roosevelt
Unk heart,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve",Unknown,Sonoran Central,Preserve,Unknown,Forb,Unk heart.Preserve
UNK heart,"Unknown forb with heart-shaped cotyledon; possibly MAPA5 (although that species not seen growing there), Preserve",Unknown,Sonoran Central,Preserve,Unknown,Forb,UNK heart.Preserve
Unk sp.,"Unknown species, Pleasant",Unknown,Sonoran Central,Pleasant,Unknown,Unknown,Unk sp..Pleasant
Unk sp.,"Unknown species, SCC",Unknown,Sonoran Central,SCC,Unknown,Unknown,Unk sp..SCC
Unkaster,"Unknown aster, Mesquite",Unknown,Chihuahuan,Mesquite,Unknown,Forb,Unkaster.Mesquite
UnkATCA,"Unknown shrub; Possible Atriplex canescens, Mesquite",Native/Unknown,Chihuahuan,Mesquite,Unknown,Shrub,UnkATCA.Mesquite
Unkcrypt,"Cryptantha spp., Creosote",Native,Chihuahuan,Creosote,Unknown,Forb,Unkcrypt.Creosote
Unkfabaceae,"Unknown fabaceae, Creosote",Unknown,Chihuahuan,Creosote,Unknown,Forb,Unkfabaceae.Creosote
Unkforb,"Unknown forb, Creosote",Unknown,Chihuahuan,Creosote,Unknown,Forb,Unkforb.Creosote
Unkforb,"Unknown forb, Mesquite",Unknown,Chihuahuan,Mesquite,Unknown,Forb,Unkforb.Mesquite
UnkForb,"Unknown forb, Mesquite",Unknown,Chihuahuan,Mesquite,Unknown,Forb,UnkForb.Mesquite
Unkforb1,"Unknown forb, Creosote",Unknown,Chihuahuan,Creosote,Unknown,Forb,Unkforb1.Creosote
UnkForb1,"Unknown forb 1, Creosote",Unknown,Chihuahuan,Creosote,Unknown,Forb,UnkForb1.Creosote
Unkgrass,"Unknown grass, Creosote",Unknown,Chihuahuan,Creosote,Unknown,Grass,Unkgrass.Creosote
Unkgrass,"Unknown grass, Mesquite",Unknown,Chihuahuan,Mesquite,Unknown,Grass,Unkgrass.Mesquite
Unkgrass2,"Unknown grass 2, Creosote",Unknown,Chihuahuan,Creosote,Unknown,Grass,Unkgrass2.Creosote
Unksalsola,"Unknown forb; A very small (tiny really) forb germinant that has linear leaves like a small Salsola would. Unlikely to be salsola but best way to distinguish it from other unks., Creosote",Unknown,Chihuahuan,Creosote,Unknown,Forb,Unksalsola.Creosote
Unksporo,"Unknown grass; Sporobolus and Eragrostis, Creosote",Unknown,Chihuahuan,Creosote,Unknown,Grass,Unksporo.Creosote
Unksporo,"Unknown grass; Sporobolus and Eragrostis, Mesquite",Unknown,Chihuahuan,Mesquite,Unknown,Grass,Unksporo.Mesquite
Unksporob,"Sporobolus spp., Mesquite",Unknown,Chihuahuan,Mesquite,Unknown,Grass,Unksporob.Mesquite
UNSFF,"Unknown shrubby fuzzy forb, munched down, SRER",Unknown,Sonoran SE,SRER,Unknown,Grass,UNSFF.SRER
UNSH,"Unknown shrub, BarTBar",Unknown,Colorado Plateau,BarTBar,Unknown,Shrub,UNSH.BarTBar
UNFO.12166.assigned,"Unknown forb with assigned code, and manually entered, Salt_Desert",Unknown,Utah,Salt_Desert,Unknown,Forb,UNFO.12166.assigned.Salt_Desert
