Site,Region,PlotMix,CodeOriginal,Code,Name,Native,Duration,Lifeform,SpeciesSeeded
AguaFria,Colorado Plateau,Warm,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,Warm,DICA14,DICA14,Dichelostemma capitatum,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,Med-Warm,ELSPP,ELSPP.AguaFria,"Elymus spp., AguaFria",Native/Unknown,Unknown,Grass,No
AguaFria,Colorado Plateau,Warm,ELSPP,ELSPP.AguaFria,"Elymus spp., AguaFria",Native/Unknown,Unknown,Grass,No
AguaFria,Colorado Plateau,Med-Warm,ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb,No
AguaFria,Colorado Plateau,None,ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb,No
AguaFria,Colorado Plateau,Warm,ERCI6,ERCI6,Erodium cicutarium,Introduced,Annual,Forb,No
AguaFria,Colorado Plateau,Med-Warm,HOPU,HOPU,Hordeum pusillum,Native,Annual,Grass,No
AguaFria,Colorado Plateau,None,HOPU,HOPU,Hordeum pusillum,Native,Annual,Grass,No
AguaFria,Colorado Plateau,Warm,HOPU,HOPU,Hordeum pusillum,Native,Annual,Grass,No
AguaFria,Colorado Plateau,Med-Warm,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,No
AguaFria,Colorado Plateau,None,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,No
AguaFria,Colorado Plateau,Warm,LEPA6,LEPA6,Leptochloa panicea,Native,Unknown,Grass,No
AguaFria,Colorado Plateau,Warm,LOSA,LOSA,Lotus salsuginosus,Native,Annual,Forb,No
AguaFria,Colorado Plateau,None,LOSA,LOSA,Lotus salsuginosus,Native,Annual,Forb,No
AguaFria,Colorado Plateau,Warm,LUSP,LUSP,Lupinus sparsiflorus (?),Native,Annual,Forb,No
AguaFria,Colorado Plateau,Warm,LUSPP,LUSPP.AguaFria,"Lupinus spp., AguaFria",Native/Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Med-Warm,MEOF,MEOF,Melilotus officinalis,Introduced,Unknown,Forb,No
AguaFria,Colorado Plateau,Warm,PLPA2,PLPA2,Plantago patagonica,Native,Annual,Forb,No
AguaFria,Colorado Plateau,Med-Warm,PLPA2,PLPA2,Plantago patagonica,Native,Annual,Forb,No
AguaFria,Colorado Plateau,None,PLPA2,PLPA2,Plantago patagonica,Native,Annual,Forb,No
AguaFria,Colorado Plateau,Med-Warm,SCBA,SCBA,Schismus barbatus,Introduced,Annual,Grass,No
AguaFria,Colorado Plateau,Warm,SCBA,SCBA,Schismus barbatus,Introduced,Annual,Grass,No
AguaFria,Colorado Plateau,None,SCBA,SCBA,Schismus barbatus,Introduced,Annual,Grass,No
AguaFria,Colorado Plateau,Warm,SECO10,SECO10,Senna covesii,Native,Perennial,Forb,No
AguaFria,Colorado Plateau,Warm,SPSP,SPSP.AguaFria,"Sphaeralcea spp., AguaFria",Native/Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Med-Warm,UNFO1,UNFO1.AguaFria,"Unknown forb 1, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Warm,UNFO1,UNFO1.AguaFria,"Unknown forb 1, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,None,UNFO1,UNFO1.AguaFria,"Unknown forb 1, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Med-Warm,UNFO2,UNFO2.AguaFria,"Unknown forb 2, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Warm,UNFO2,UNFO2.AguaFria,"Unknown forb 2, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,None,UNFO2,UNFO2.AguaFria,"Unknown forb 2, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Warm,UNFO3,UNFO3.AguaFria,"Unknown forb 3, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Warm,UNFO4,UNFO4.AguaFria,"Unknown forb 4, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Med-Warm,UNFO4,UNFO4.AguaFria,"Unknown forb 4, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,None,UNFO4,UNFO4.AguaFria,"Unknown forb 4, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Warm,UNFO5,UNFO5.AguaFria,"Unknown forb 5, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Warm,UNFO6,UNFO6.AguaFria,"Unknown forb 6, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Warm,UNFO7,UNFO7.AguaFria,"Unknown forb 7, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Warm,UNFO8,UNFO8.AguaFria,"Unknown forb 8, AguaFria",Unknown,Unknown,Forb,No
AguaFria,Colorado Plateau,Warm,UNGR1,UNGR1.AguaFria,"Unknown grass 1, AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,None,UNGR2,UNGR2.AguaFria,"Unknown grass 2, AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,Warm,UNGR3,UNGR3.AguaFria,"Unknown grass 3, AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,Med-Warm,UNGR3,UNGR3.AguaFria,"Unknown grass 3, AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,None,UNGR3,UNGR3.AguaFria,"Unknown grass 3, AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,Med-Warm,UNGR4,UNGR4.AguaFria,"Unknown grass 4, AguaFria",Unknown,Unknown,Grass,No
AguaFria,Colorado Plateau,None,UNGR4,UNGR4.AguaFria,"Unknown grass 4, AguaFria",Unknown,Unknown,Grass,No
AguaFria,Colorado Plateau,Warm,UNGR4,UNGR4.AguaFria,"Unknown grass 4, AguaFria",Unknown,Unknown,Grass,No
AguaFria,Colorado Plateau,Med-Warm,UNGR5,UNGR5.AguaFria,"Unknown grass 5, AguaFria",Unknown,Unknown,Grass,No
AguaFria,Colorado Plateau,Warm,UNGR5,UNGR5.AguaFria,"Unknown grass 5, AguaFria",Unknown,Unknown,Grass,No
AguaFria,Colorado Plateau,None,UNGR5,UNGR5.AguaFria,"Unknown grass 5, AguaFria",Unknown,Unknown,Grass,No
AguaFria,Colorado Plateau,Med-Warm,UNGR,UNGR.AguaFria,"Unknown grass, AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,Warm,UNGR,UNGR.AguaFria,"Unknown grass, AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,Med-Warm,BOSPP,BOSPP.AguaFria,"local Bouteloua species (unknown), AguaFria",Native,Unknown,Grass,No
AguaFria,Colorado Plateau,Warm,BOSPP,BOSPP.AguaFria,"local Bouteloua species (unknown), AguaFria",Native,Unknown,Grass,No
BabbittPJ,Colorado Plateau,None,AMBSPP,AMBSPP.BabbittPJ,"Ambrosia spp., BabbittPJ",Native/Unknown,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool-Med,AMBSPP,AMBSPP.BabbittPJ,"Ambrosia spp., BabbittPJ",Native/Unknown,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool,BOGR2,BOGR2,Bouteloua gracilis,Native,Perennial,Grass,No
BabbittPJ,Colorado Plateau,Cool-Med,BOSI2,BOSI2,Bouteloua simplex,Native,Annual,Grass,No
BabbittPJ,Colorado Plateau,Cool,BOSI2,BOSI2,Bouteloua simplex,Native,Annual,Grass,No
BabbittPJ,Colorado Plateau,None,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
BabbittPJ,Colorado Plateau,Cool,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
BabbittPJ,Colorado Plateau,Cool-Med,CHAL11,CHAL11,Chamaesyce albomarginata,Native,Perennial,Forb,No
BabbittPJ,Colorado Plateau,Cool,HECI,HECI,Helianthus ciliaris,Native,Perennial,Forb,No
BabbittPJ,Colorado Plateau,Cool-Med,HECI,HECI,Helianthus ciliaris,Native,Perennial,Forb,No
BabbittPJ,Colorado Plateau,None,HESP,HESP.BabbittPJ,"Heliomeris spp., BabbittPJ",Native,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool,HESP,HESP.BabbittPJ,"Heliomeris spp., BabbittPJ",Native,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool-Med,HESP,HESP.BabbittPJ,"Heliomeris spp., BabbittPJ",Native,Unknown,Forb,No
BabbittPJ,Colorado Plateau,Cool-Med,LECI4,LECI4,Leymus cinereus,Native,Perennial,Grass,No
BabbittPJ,Colorado Plateau,Cool,LILE3,LILE3,Linum lewisii,Native,Perennial,Forb,No
