Region,Site,CodeOriginal,CodeOriginal_2x2,Code,Code_2x2,Name,Name_2x2,Native,Native_2x2,Duration,Duration_2x2,Lifeform,Lifeform_2x2
Colorado Plateau,Spiderweb,UNFO6,UNFO6,UNFO6.Spiderweb,UNFO6.Spiderweb,"Unknown forb 6, Spiderweb","Unknown forb 6, Spiderweb",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,FlyingM,UNFO7,UNFO7,UNFO7.FlyingM,UNFO7.FlyingM,"Unknown forb 7, FlyingM","Unknown forb 7, FlyingM",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,Spiderweb,UNFO7,UNFO7,UNFO7.Spiderweb,UNFO7.Spiderweb,"Unknown forb 7, Spiderweb","Unknown forb 7, Spiderweb",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,AguaFria,UNFO8,UNFO8,UNFO8.AguaFria,UNFO8.AguaFria,"Unknown forb 8, AguaFria","Unknown forb 8, AguaFria",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,BarTBar,UNFO8,UNFO8,UNFO8.BarTBar,UNFO8.BarTBar,"Unknown forb 8, BarTBar","Unknown forb 8, BarTBar",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,Spiderweb,UNFO8,UNFO8,UNFO8.Spiderweb,UNFO8.Spiderweb,"Unknown forb 8, Spiderweb","Unknown forb 8, Spiderweb",Unknown,Unknown,Unknown,Unknown,Forb,Forb
Colorado Plateau,BabbittPJ,UNGR,UNGR,UNGR.BabbittPJ,UNGR.BabbittPJ,"Unknown grass, BabbittPJ","Unknown grass, BabbittPJ",Native,Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,BarTBar,UNGR,UNGR,UNGR.BarTBar,UNGR.BarTBar,"Unknown grass, BarTBar","Unknown grass, BarTBar",Native,Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,FlyingM,UNGR,UNGR,UNGR.FlyingM,UNGR.FlyingM,"Unknown grass, FlyingM","Unknown grass, FlyingM",Native,Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,MOWE,UNGR,UNGR,UNGR.MOWE,UNGR.MOWE,"Unknown grass, MOWE","Unknown grass, MOWE",Native,Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,PEFO,UNGR,UNGR,UNGR.PEFO,UNGR.PEFO,"Unknown grass, PEFO","Unknown grass, PEFO",Native,Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,Spiderweb,UNGR,UNGR,UNGR.Spiderweb,UNGR.Spiderweb,"Unknown grass, Spiderweb","Unknown grass, Spiderweb",Native,Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,TLE,UNGR,UNGR,UNGR.TLE,UNGR.TLE,"Unknown grass, TLE","Unknown grass, TLE",Native,Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,PEFO,UNGR1,UNGR1,UNGR1.PEFO,UNGR1.PEFO,"Unknown grass 1, PEFO","Unknown grass 1, PEFO",Native,Unknown,Unknown,Unknown,Grass,Grass
Colorado Plateau,MOWE,UNGR2,UNGR2,UNGR2.MOWE,UNGR2.MOWE,"Unknown grass 2, MOWE","Unknown grass 2, MOWE",Native,Unknown,Unknown,Unknown,Grass,Grass
